,3M Company,Alcoa Incorporated,American Express Company,AT&T Incorporated,Bank of America Corporation,Boeing Corporation,Caterpillar Incorporated,Chevron Corporation,"Cisco Systems, Inc",Coca-Cola Company,DuPont,Exxon Mobil Corporation,General Electric Company,Home Depot Incorporated,Microsoft Corporation,Intel Corporation,International Business Machines,J.P. Morgan Chase & Company,Johnson & Johnson,McDonald’s Corporation,Merck & Company,Pfizer Incorporated,Procter & Gamble Company,"The Travelers Companies, Inc",United Technologies,Verizon Company,Wal-Mart Stores Incorporated,Walt Disney Company
2011-01-03,86.790001,37.9674,43.400002,29.67,14.19,66.400002,94.150002,91.940002,20.49,32.610001,49.785976,74.550003,140.615387,35.310001,27.98,20.85,147.479996,43.580002,62.82,76.599998,34.389313,16.774195,64.769997,55.82,49.71051,36.43,54.560001,37.82
2011-01-04,86.669998,39.697559,43.950001,29.879999,14.24,66.940002,93.709999,91.599998,20.52,31.934999,49.444389,74.900002,143.153839,34.669998,28.09,21.15,147.639999,44.16,63.349998,74.309998,34.685116,17.068312,64.949997,55.57,49.79232,37.16,54.77,38.990002
2011-01-05,86.669998,39.793678,45.040001,29.98,14.5,67.480003,94.519997,91.440002,20.77,31.745001,49.358994,74.699997,143.384613,34.560001,28,20.940001,147.050003,44.700001,63.310001,74.660004,34.885494,17.182163,64.800003,55.240002,49.861549,37.669998,54.41,39.959999
2011-01-06,86.139999,39.31308,44.73,29.15,14.44,68.800003,93.540001,90.690002,20.950001,31.514999,50.298351,75.18,142.769226,34.419998,28.82,20.77,148.660004,44.48,63.209999,74.209999,35.362595,17.248577,64.690002,54.389999,49.811203,36.23,53.959999,39.650002
2011-01-07,86.230003,39.45726,44.360001,28.85,14.25,69.379997,93.730003,91.190002,20.969999,31.459999,49.714813,75.589996,141.769226,34.380001,28.6,20.66,147.929993,43.639999,62.599998,74.370003,35.639313,17.400379,64.5,53.330002,49.767151,35.93,54.080002,39.450001
2011-01-10,87.150002,39.625469,44.459999,28.34,14.4,69.089996,93.389999,90.410004,20.790001,31.530001,50.526077,75.129997,142.384613,34.389999,28.219999,20.690001,147.639999,43.400002,62.16,73.559998,35.496181,17.324478,64.360001,53.849998,49.376968,35.919998,53.73,39.5
2011-01-11,87.739998,39.24099,45.040001,27.91,14.69,68.959999,93.949997,91.830002,20.879999,31.344999,50.511845,75.690002,143.307693,34.860001,28.110001,21.049999,147.279999,43.599998,62.27,73.900002,35.257633,17.286528,64.040001,53.900002,49.666458,35.360001,54.290001,39.400002
2011-01-12,88.660004,39.024719,45,28.040001,14.99,70.150002,93.489998,92.449997,21.120001,31.52,51.02422,76.580002,143.615387,34.830002,28.549999,21.299999,149.100006,44.709999,62.5,73.599998,35.448475,17.428843,64.970001,54.59,49.987411,35.470001,54.849998,39.169998
2011-01-13,88.040001,37.847252,45.060001,28.08,14.77,69.830002,94.139999,92.18,21.08,31.700001,50.739567,76.709999,143.07692,35.27,28.190001,21.290001,148.820007,44.450001,62.91,72.669998,33.101147,17.286528,65.480003,54.669998,50.031467,35.799999,54.790001,39.259998
2011-01-14,88.099998,38.375912,46.25,28.43,15.25,70.07,94.010002,92.830002,21.209999,31.565001,51.138081,77.839996,144.769226,35.889999,28.299999,21.08,150,44.91,62.549999,74.059998,32.662212,17.400379,65.529999,54.630001,49.767151,35.459999,54.810001,39.290001
