,HINDALCO,HEROHONDA,M&M,MARUTI,TATAMOTORS,AXISBANK,HDFCBANK,ICICIBANK,PNB,SBIN,ACC,AMBUJACEM,GRASIM,ITC,HCLTECH,INFOSYSTCH,TCS,WIPRO,DLF,UNITECH,HINDUNILVR,JPASSOCIAT,ABB,BHEL,SIEMENS,SUZLON,LT,RELCAPITAL,HDFC,IDFC,GAIL,STER,ONGC,CIPLA,SUNPHARMA,NTPC,POWERGRID,RELINFRA,RPOWER,TATAPOWER,BPCL,RELIANCE,JINDALSTEL,SAIL,TATASTEEL,BHARTIARTL,IDEA,RCOM
2011-01-03,246.100006,1986.599976,393.774994,1426.050049,258.912903,273.529999,239.050003,208.154541,244.550003,282.209991,1074.400024,142.949997,364.991333,116.533333,113.537498,432.293762,579.025024,181.143799,295.600006,66.599998,313.149994,108.550003,811.200012,312.506653,829.75,54.200001,880.222229,597.396118,728.200012,88.923569,144.85788,78.800003,215.46666,372.5,243.649994,165.375,73.725021,862.450012,159,132.665741,109.991669,522.843933,718.450012,187.949997,670.774231,329.947388,42.690205,148.25
2011-01-04,244.100006,1979.349976,390.625,1428.75,256.924225,269.589996,234.554993,200.736359,244.149994,273.559998,1073.349976,144.449997,371.900604,118.333336,115.287498,435.181244,572.375,181.74379,291.649994,65.599998,320.899994,108,809.049988,310.84668,825.349976,55.650002,878.044434,592.669495,731.75,87.507431,146.418823,79.25,214.508331,379.25,244.949997,166.791672,73.800018,879.799988,158.649994,133.235092,108.925003,533.493042,727.799988,189.199997,661.86615,327.23877,41.906345,144.300003
2011-01-05,246.5,1903.400024,385.524994,1412.449951,253.837341,262.179993,230.820007,194.427277,241.100006,269.320007,1064.400024,140.850006,372.636444,119.866669,118.087502,432.450012,579.474976,182.11879,281.850006,64.849998,325.700012,107.550003,796.299988,307.380005,824,54.450001,857.111084,574.288086,708.099976,84.650749,148.725067,77.599998,211.024994,376.350006,244.024994,166.25,73.57502,856.400024,159.550003,135.189255,105.425003,532.849121,725.450012,185.550003,648.765991,320.444244,41.906345,140.050003
2011-01-06,251.350006,1886.25,385.625,1373.900024,249.523605,261.170013,232.774994,191.536362,238.229996,262.23999,1022.549988,133.550003,368.833252,119.266663,119.425003,434.768738,585.849976,182.381302,277.75,61.599998,320.75,104.949997,799.25,307.786652,809.099976,53.5,834.622192,577.614258,706.900024,81.989388,148.261017,75.5,204.550003,363.600006,250,168.333328,74.250015,860.450012,161.100006,135.034851,103.125,537.703125,720.700012,185.149994,651.004944,324.300598,41.996792,139.75
2011-01-07,233.300003,1879.849976,370.149994,1340.550049,235.513885,256.130005,226.945007,190.763641,233.740005,260.095001,1002.299988,128.850006,370.359192,115,116.3125,421.34375,571.325012,178.856293,268.899994,61.400002,313.049988,101.599998,781,305.34668,788.450012,51.049999,820.555542,554.768738,683.900024,82.477707,147.501633,72.949997,200.975006,357,246.675003,164.208328,73.38752,829,155.300003,134.065002,102.824997,527.697937,708.150024,178.850006,629.997131,310.803375,40.670261,139.350006
2011-01-10,222.100006,1797.599976,364.274994,1326,232.842529,250.919998,215.225006,184.363632,230.360001,254.710007,1016.099976,127.449997,360.498749,113.73333,116.224998,424.46875,565.450012,174.225037,259.200012,59.299999,309,97.300003,748.700012,290.946655,771.700012,49.450001,791.444458,535.730835,653.599976,79.889603,141.398514,69.949997,195.725006,348.100006,238.5,159.416672,72.112518,807.549988,150.300003,132.492035,100.891663,511.872955,689.549988,177.25,619.94574,311.354279,40.006992,135.25
2011-01-11,230.600006,1845.5,367.475006,1318.449951,229.152115,260.040009,214.660004,185.990906,234.839996,261.285004,1029.150024,126.449997,358.670715,113.400002,118.824997,415.712494,549.25,175.293793,257.350006,55.349998,307.950012,94.599998,738.349976,296.953339,763.349976,47.5,791.311096,532.098328,659.349976,78.839706,140.807877,69.550003,197.46666,346.649994,237.899994,158.125,72.037521,803.299988,148.199997,132.289383,101.633331,502.115448,675.549988,175.649994,615.991882,310.757477,40.24818,137.649994
2011-01-12,237.5,1874,375.625,1317.650024,241.014877,262.670013,220.529999,194.44545,238.380005,266.970001,1028.349976,128.600006,373.759613,115.833336,119.162498,422.162506,567.974976,175.387543,263.549988,58.950001,304.899994,96.449997,748.099976,298.406677,771.549988,53.650002,782.288879,551.048706,680.650024,80.329086,143.128189,69.550003,197.774994,346.799988,242.625,159.583328,72.937515,821.900024,149.800003,131.256805,103.150002,510.560394,693.25,177,618.230835,320.536072,40.941597,138.649994
2011-01-13,234.25,1825.75,368.850006,1315.550049,244.715179,253.089996,214.300003,186.545456,226.729996,256.070007,1038.099976,132.5,381.714569,115.433334,116.1875,400.649994,562.125,170.081299,265.200012,59.799999,302.200012,95.849998,753.200012,297.220001,766.5,52.700001,777,544.133789,667.349976,77.301491,140.231323,69.550003,200.25,344.5,241.550003,157.5,72.562515,808.200012,148.449997,130.32074,99.650002,502.907928,678.25,172.300003,607.417236,318.28653,40.549667,138.5
2011-01-14,230,1815.050049,369.774994,1269.699951,233.970428,240.320007,204.955002,183.490906,223.809998,250.080002,1003.900024,128,380.730835,113.699997,117.650002,400.537506,560.075012,173.662537,259.299988,57.450001,302.549988,93.400002,750.049988,292.646667,754.200012,52.349998,760.022217,536.737427,641.75,75.323784,136.898499,68.150002,196.508331,339.5,237.399994,155.375,73.20002,798.150024,146.949997,131.498062,98.974998,496.047974,680.900024,161.399994,593.030945,315.62381,40.821003,138.5
2011-01-17,224.850006,1787.75,368.825012,1269.599976,233.26796,245.800003,206.809998,182.027267,226.800003,251.619995,1009.150024,125.849998,378.771149,114.633331,119.099998,408.600006,568.700012,175.031296,250.350006,56.900002,301.649994,88.300003,746.349976,291.466675,739.75,51.700001,746.533325,502.469238,663.650024,75.763275,135.520386,64.199997,195.016663,346.799988,232.699997,155.875,73.312515,734.900024,137.800003,129.529434,97.599998,494.264862,670.150024,157.149994,596.079651,319.985168,41.665157,131.649994
2011-01-18,229.449997,1786.849976,373.200012,1277.599976,237.364029,255.649994,210.934998,183.899994,229.399994,255.455002,1029.150024,130.800003,374.867249,117.433334,122.1875,415.375,601.275024,179.456299,248.5,57.599998,301.850006,90.650002,750.599976,292.333344,740.450012,53.099998,748.444458,507.195892,658.349976,77.740982,134.507874,63.450001,195.074997,354.600006,242.175003,157.166672,73.987518,701.450012,137.949997,128.59819,98.23333,492.754181,693.75,162,602.701172,316.220642,41.484268,132.100006
